iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
96,1.0,0.0,1.0,0.0,0.0025178731724021237,0.0009359061741178953,0.0012904789721757065,0.00026793966360088537
97,1.0,0.0,1.0,0.0,0.002508734634424108,0.0009285947530941376,0.0012820498761539193,0.00026222607577812467
98,1.0,0.0,1.0,0.0,0.002503071853328659,0.0009219123714872168,0.001276546431773482,0.0002560084127246717
99,1.0,0.0,1.0,0.0,0.0024971046017583437,0.0009160558198064898,0.001270669387257376,0.0002509384062533043
100,1.0,0.0,1.0,0.0,0.002488716934294235,0.0009085984100861351,0.0012630709098681232,0.0002447918040669425
101,1.0,0.0,1.0,0.0,0.0024795006121445173,0.0009024341814593578,0.0012548928425516917,0.00024093480796973058
102,1.0,0.0,1.0,0.0,0.0024707986492299547,0.0008956573857486279,0.0012480367978233665,0.00023564794710079703
103,1.0,0.0,1.0,0.0,0.002464101969178938,0.0008891527559084905,0.001241567374406444,0.00023030245531113273
104,1.0,0.0,1.0,0.0,0.0024565867816177932,0.0008853605374032111,0.0012347529410777238,0.00022821059490202
105,1.0,0.0,1.0,0.0,0.002448817982400405,0.000878182370067587,0.0012277625935091204,0.0002225711684183126
106,1.0,0.0,1.0,0.0,0.002442101685363774,0.0008718930748190803,0.0012214179345948358,0.00021764410787935106
107,1.0,0.0,1.0,0.0,0.002435361918271808,0.0008665472160372605,0.0012154161901237468,0.00021361397068620817
108,1.0,0.0,1.0,0.0,0.002430237080437351,0.0008612439710758279,0.0012109939306085918,0.00020894804505516975
109,1.0,0.0,1.0,0.0,0.002422470920359073,0.0008561209519815708,0.001204469491484899,0.00020590856935304193
110,1.0,0.0,1.0,0.0,0.0024184470652076568,0.0008520027069957686,0.0012005538752103508,0.00020229821981214638
111,1.0,0.0,1.0,0.0,0.0024118608147932563,0.0008461300165552004,0.0011945678007599173,0.0001981106484868078
112,1.0,0.0,1.0,0.0,0.0024054009128016444,0.0008402271158597335,0.0011886035344369076,0.0001936619266394507
113,1.0,0.0,1.0,0.0,0.0024005125016042226,0.0008361193993636336,0.0011838762909146953,0.00019150579017828748
114,1.0,0.0,1.0,0.0,0.0023934975712105013,0.0008314353590771434,0.0011774381921923762,0.00018908061068947154
115,1.0,0.0,1.0,0.0,0.002387015669779725,0.0008264548767239986,0.0011718359402796464,0.00018559902884308276
116,1.0,0.0,1.0,0.0,0.002380593197513413,0.0008204357244432703,0.0011661435309256022,0.00018141047884013116
117,1.0,0.0,1.0,0.0,0.0023766061849815603,0.0008169929453009054,0.0011621957721870343,0.00017881998326446086
118,1.0,0.0,1.0,0.0,0.0023710440635980115,0.0008121185964887339,0.00115730333652381,0.00017591222443009375
119,1.0,0.0,1.0,0.0,0.002364615021957347,0.0008063498959565103,0.001151602046241172,0.00017221744610314028
120,1.0,0.0,1.0,0.0,0.0023593416436000986,0.0008010602340371782,0.001146788678068974,0.00016834214497979768
121,1.0,0.0,1.0,0.0,0.0023535462282239477,0.0007964834725966892,0.001141871183625583,0.00016584637400379995
122,1.0,0.0,1.0,0.0,0.00234921312920696,0.0007916276910824825,0.0011377809650838211,0.00016224675863001686
123,1.0,0.0,1.0,0.0,0.002345352111894812,0.0007875756463499435,0.0011345957498224966,0.000159481411736414
124,1.0,0.0,1.0,0.0,0.0023416788025522792,0.0007836809934559821,0.001131159123451336,0.00015656281420267193
125,1.0,0.0,1.0,0.0,0.002336745798523978,0.0007793272965098801,0.0011269084376229232,0.00015391714498329078
126,1.0,0.0,1.0,0.0,0.0023329708672603622,0.0007759660328507384,0.0011233471521198482,0.00015184832785826208
127,1.0,0.0,1.0,0.0,0.0023295215171980172,0.0007725275280077145,0.0011205141151751363,0.00014970238248284388
128,1.0,0.0,1.0,0.0,0.0023257293978885514,0.000770242682410147,0.001116728490448789,0.00014921373715203346
129,1.0,0.0,1.0,0.0,0.0023207914418469817,0.0007674936681543086,0.001111870261591885,0.00014914152665434659
130,1.0,0.0,1.0,0.0,0.002317012333603824,0.0007635284922985539,0.0011086965274108508,0.0001470459462732986
131,1.0,0.0,1.0,0.0,0.0023132836720178027,0.0007601767352105845,0.0011052143194598912,0.00014510787707268814
132,1.0,0.0,1.0,0.0,0.002309813738234022,0.0007571508051551175,0.001101959991340002,0.00014336477788455778
133,1.0,0.0,1.0,0.0,0.00230517104075234,0.0007543594981499798,0.0010972589873963468,0.00014333677669616941
134,1.0,0.0,1.0,0.0,0.0023043073512204596,0.0007537782068731391,0.0010961611142917438,0.00014270631653056926
135,1.0,0.0,1.0,0.0,0.002299209044330478,0.0007503515152473819,0.0010924749309921843,0.0001413176640472899
136,1.0,0.0,1.0,0.0,0.0022970440394896154,0.0007473459779861756,0.0010904628756354916,0.00014029691587133102
